phenotype,trait_type,mean_fitness_value,mean_across_category
% of eggs laid on mushrooms relative to tomatoes,LH,7.429,6.894819945
100-seed weight,LH,5.259,
100-seed weight,LH,5.259,
100-seed weight,LH,5.259,
20 year growth of survivors,LH,9,
20 year survival,LH,9,
activity,LH,5.76,
activity,LH,5.76,
activity,LH,5.76,
activity,LH,5.76,
activity,LH,5.76,
activity,LH,5.76,
activity level,LH,5.76,
age of 1st reproduction,LH,7.63,
antibody response,LH,7.357,
average weight per fruit,LH,5.036,
average weight per fruit,LH,5.036,
body weight day 0,LH,6.065,
body weight day 14,LH,6.065,
body weight day 21,LH,6.065,
body weight day 28,LH,6.065,
body weight day 35,LH,6.065,
body weight day 42,LH,6.065,
body weight day 49,LH,6.065,
body weight day 56,LH,6.065,
body weight day 63,LH,6.065,
body weight day 7,LH,6.065,
body weight day 70,LH,6.065,
body weight day 77,LH,6.065,
body weight day 84,LH,6.065,
boll number,LH,4.762,
boll number,LH,4.762,
boll weight,LH,4.792,
boll weight,LH,4.792,
BxACO fecundity,LH,9,
BxACO fem develop time,LH,6.733,
BxACO female starvation resist,LH,7.728,
BxACO male develop time,LH,6.733,
BxACO male starvation resist,LH,7.728,
BxSO fecundity,LH,9,
BxSO fem develop time,LH,6.733,
BxSO female starvation resist,LH,7.728,
BxSO male develop time,LH,6.733,
BxSO male starvation resist,LH,7.728,
capsule length,LH,5.036,
capsule length,LH,5.036,
capsule length,LH,5.036,
capsule length,LH,5.036,
condition factor,LH,6.815,
condition factor,LH,6.815,
days to 50% flowering,LH,6.6,
days to 50% flowering,LH,6.6,
days to 50% flowering,LH,6.6,
days to 50% silking,LH,5.217,
days to 50% silking,LH,5.217,
days to anthesis,LH,6.6,
days to anthesis,LH,6.6,
days to first flowering,LH,6.6,
days to first flowering,LH,6.6,
days to first flowering,LH,6.6,
days to first flowering,LH,6.6,
days to first fruit set,LH,6.037,
days to first fruit set,LH,6.037,
days to first fruit set,LH,6.037,
days to first fruit set,LH,6.037,
days to flower,LH,6.6,
days to flower,LH,6.6,
days to flower,LH,6.6,
days to flower,LH,6.6,
days to flower,LH,6.6,
days to flower,LH,6.6,
days to flower,LH,6.6,
days to flower,LH,6.6,
days to flower,LH,6.6,
days to flower,LH,6.6,
days to flower,LH,6.6,
days to flower,LH,6.6,
days to flower initiation,LH,6.6,
days to flower initiation,LH,6.6,
days to flower initiation,LH,6.6,
days to flower initiation,LH,6.6,
days to flowering,LH,6.6,
days to flowering,LH,6.6,
days to harvest,LH,5.8,
days to harvest,LH,5.8,
days to harvest,LH,5.8,
days to harvest,LH,5.8,
days to heading,LH,5.88,
days to heading,LH,5.88,
days to maturity,LH,7.037,
days to maturity,LH,7.037,
days to maturity,LH,7.037,
days to maturity,LH,7.037,
days to maturity,LH,7.037,
days to maturity,LH,7.037,
days to maturity,LH,7.037,
days to maturity,LH,7.037,
days to maturity,LH,7.037,
days to physiological maturity,LH,6.846,
days to red fruit,LH,6.115,
days to red fruit,LH,6.115,
days to red fruit,LH,6.115,
days to red fruit,LH,6.115,
days to ripe green fruit,LH,6.462,
days to ripe green fruit,LH,6.462,
days to ripe green fruit,LH,6.462,
days to ripe green fruit,LH,6.462,
days to silking,LH,5.217,
development time,LH,6.733,
development time,LH,6.733,
development time,LH,6.733,
development time,LH,6.733,
development time,LH,6.733,
development time,LH,6.733,
development time,LH,6.733,
development time,LH,6.733,
development time,LH,6.733,
development time,LH,6.733,
development time,LH,6.733,
development time,LH,6.733,
development time with high food,LH,6.733,
development time with high food,LH,6.733,
development time with high food,LH,6.733,
development time with high food,LH,6.733,
development time with high food,LH,6.733,
development time with high food/propionic acid,LH,6.733,
development time with high food/propionic acid,LH,6.733,
development time with high food/propionic acid,LH,6.733,
development time with high food/propionic acid,LH,6.733,
development time with high food/propionic acid,LH,6.733,
development time with low food,LH,6.733,
development time with low food,LH,6.733,
development time with low food,LH,6.733,
development time with low food,LH,6.733,
difference in days between silking and pollen shedding,LH,5.217,
dispersal tendency,LH,7.893,
distance from stigma to anthers ,LH,6.032,
dry fodder yield,LH,7.815,
dry fodder yield,LH,7.815,
early fecundity,LH,9,
egg dispersal,LH,7.893,
egg dispersal,LH,7.893,
egg dispersal,LH,7.893,
egg dispersal,LH,7.893,
egg dispersion,LH,7.893,
egg dispersion,LH,7.893,
egg dispersion,LH,7.893,
egg dispersion,LH,7.893,
egg number,LH,8.806,
egg number,LH,8.806,
egg size,LH,5.517,
egg size,LH,5.517,
egg survival,LH,9,
egg volume ,LH,5.517,
egg volume ,LH,5.517,
eggs per plant,LH,8.806,
eggs per plant,LH,8.806,
eggs per plant,LH,8.806,
eggs per plant,LH,8.806,
ejaculation intensity,LH,6.185,
emergence time,LH,6.5,
emergence time,LH,6.5,
emergence time,LH,6.5,
emergence time,LH,6.5,
emergence time,LH,6.5,
emergence time,LH,6.5,
filled seeds/catkin,LH,8.258,
first flowering,LH,6.6,
first flowering,LH,6.6,
first flowering,LH,6.6,
first flowering,LH,6.6,
fitness at high density of food,LH,10,
fitness at high density of food,LH,10,
fitness at high density of food,LH,10,
fitness at high density of food,LH,10,
fitness at low density of food,LH,10,
fitness at low density of food,LH,10,
fitness at low density of food,LH,10,
fitness at low density of food,LH,10,
flower days,LH,6.6,
flower days,LH,6.6,
flower days,LH,6.6,
flower days,LH,6.6,
fruit bearing index,LH,7.296,
fruit bearing index,LH,7.296,
fruit bearing index,LH,7.296,
fruit bearing index,LH,7.296,
fruit bearing index,LH,7.296,
fruit bearing index,LH,7.296,
fruit diameter,LH,5.036,
fruit length,LH,5.036,
fruit length,LH,5.036,
fruit length,LH,5.036,
fruit length,LH,5.036,
fruit length,LH,5.036,
fruit number,LH,7.655,
fruit number per plant,LH,7.655,
fruit number per plant,LH,7.655,
fruit number per plot,LH,7.655,
fruit number per plot,LH,7.655,
fruit number per plot,LH,7.655,
fruit number per plot,LH,7.655,
fruit number per plot,LH,7.655,
fruit number per plot,LH,7.655,
fruit size,LH,5.036,
fruit weight,LH,5.036,
fruit weight,LH,5.036,
fruit weight,LH,5.036,
fruit weight,LH,5.036,
fruit weight,LH,5.036,
fruit weight,LH,5.036,
fruit weight,LH,5.036,
fruit weight,LH,5.036,
fruit weight,LH,5.036,
fruit weight,LH,5.036,
fruit weight,LH,5.036,
fruit weight,LH,5.036,
fruit weight,LH,5.036,
fruit weight,LH,5.036,
fruit weight,LH,5.036,
fruit weight,LH,5.036,
fruit weight,LH,5.036,
fruit weight,LH,5.036,
fruit weight per plant,LH,5.036,
fruit weight per plant,LH,5.036,
fruit weight per plot (kg),LH,5.036,
fruit weight per plot (kg),LH,5.036,
fruit weight per plot (kg),LH,5.036,
fruit weight per plot (kg),LH,5.036,
fruit weight per plot (kg),LH,5.036,
fruit weight per plot (kg),LH,5.036,
fruit width,LH,5.036,
fruit width,LH,5.036,
fruit width,LH,5.036,
fruit width,LH,5.036,
fruit yield,LH,7.815,
fruit yield,LH,7.815,
fruit yield,LH,7.815,
fruit yield,LH,7.815,
fruit yield,LH,7.815,
fruit yield,LH,7.815,
fruit yield,LH,7.815,
fruit yield,LH,7.815,
fruit-size index (cm),LH,5.036,
fruit-size index (cm),LH,5.036,
fruit-size index (cm),LH,5.036,
fruit-size index (cm),LH,5.036,
fruit-size index (cm),LH,5.036,
fruit-size index (cm),LH,5.036,
fusarium rot resistance,LH,6.125,
germination rate,LH,7.786,
germination success,LH,7.786,
germination time,LH,6.777,
grain weight,LH,5.769,
grain weight,LH,5.769,
grain weight,LH,5.769,
grain yield,LH,7.815,
grain yield,LH,7.815,
grain yield,LH,7.815,
grain yield,LH,7.815,
grain yield,LH,7.815,
grain yield,LH,7.815,
grain yield,LH,7.815,
grain yield,LH,7.815,
grain yield,LH,7.815,
grain yield,LH,7.815,
grain yield,LH,7.815,
grain yield,LH,7.815,
grain yield ,LH,7.815,
grain yield (g/plant) for late sowing,LH,7.815,
grain yield (g/plant) for normal sowing,LH,7.815,
grain yield per plant,LH,7.815,
grain yield per plant,LH,7.815,
grains per panicle,LH,6.087,
grains per panicle,LH,6.087,
growth rate,LH,6.968,
growth rate length,LH,6.968,
growth rate length,LH,6.968,
growth rate littoral env vs open env,LH,6.968,
growth rate mass,LH,6.968,
growth rate mass,LH,6.968,
harvest index,LH,5.783,
harvest index,LH,5.783,
harvest index,LH,5.783,
harvest index,LH,5.783,
harvest index,LH,5.783,
harvest index,LH,5.783,
harvest index,LH,5.783,
harvest index,LH,5.783,
harvesting time,LH,6.12,
harvesting time,LH,6.12,
hatching success high salinity,LH,8.367,
hatching success low salinity,LH,8.367,
heading date,LH,5.88,
herbivore density,LH,5.577,
herbivore density,LH,5.577,
herbivore density,LH,5.577,
herbivore density,LH,5.577,
herbivore density,LH,5.577,
herbivore density,LH,5.577,
herbivore density,LH,5.577,
herbivore density,LH,5.577,
herbivore density,LH,5.577,
herbivore density,LH,5.577,
herbivore density,LH,5.577,
herbivore density,LH,5.577,
herbivore density,LH,5.577,
herbivore density,LH,5.577,
herbivore density,LH,5.577,
infection degree,LH,6.889,
infection index,LH,6.889,
intromission,LH,5.211,
kernel depth,LH,5.259,
kernel weight,LH,5.259,
kernel weight,LH,5.259,
kernel weight,LH,5.259,
kernel weight,LH,5.259,
kernel weight,LH,5.259,
kernel weight,LH,5.259,
kernels per spike,LH,4.08,
kernels per spikelet,LH,4.08,
kernels per spikelet,LH,4.08,
latency period - disease,LH,6.273,
latency period - disease,LH,6.273,
lifespan,LH,7.065,
lifespan,LH,7.065,
lifespan,LH,7.065,
lifespan,LH,7.065,
lifespan,LH,7.065,
lifespan,LH,7.065,
lifespan,LH,7.065,
lifespan,LH,7.065,
lifespan,LH,7.065,
lifespan,LH,7.065,
lifespan,LH,7.065,
lifespan,LH,7.065,
"longevity, reared on bean",LH,7.1,
"longevity, reared on bean",LH,7.1,
"longevity, reared on chickpea",LH,7.1,
"longevity, reared on chickpea",LH,7.1,
maternal fitness,LH,10,
mean stamen length,LH,6.032,
mortality rate,LH,8.128,
mortality rate,LH,8.128,
mortality rate,LH,8.128,
mortality rate,LH,8.128,
mounting,LH,5.739,
number of capsules,LH,5.036,
number of capsules,LH,5.036,
number of capsules,LH,5.036,
number of capsules,LH,5.036,
number of catkins,LH,6.857,
number of days from seeding to pollen shedding,LH,7,
number of days from seeding to silking,LH,5.217,
number of days taken to flower,LH,6.6,
number of days taken to flower,LH,6.6,
number of days taken to flower,LH,6.6,
number of days taken to flower,LH,6.6,
number of days taken to flower,LH,6.6,
number of days taken to flower,LH,6.6,
number of ears per plant,LH,8.258,
number of ears per plant,LH,8.258,
number of ears per plant,LH,8.258,
number of ears per plant,LH,8.258,
number of ears per plant,LH,8.258,
number of ears per plant,LH,8.258,
number of ears per plant,LH,8.258,
number of ears per plant,LH,8.258,
number of ears per plant,LH,8.258,
number of ears per plant,LH,8.258,
number of ears per plant,LH,8.258,
number of ears per plant,LH,8.258,
number of ears per plant,LH,8.258,
number of ears per plant,LH,8.258,
number of ears per plant,LH,8.258,
number of ears per plant,LH,8.258,
number of ears per plant,LH,8.258,
number of eggs hatched,LH,8.806,
number of eggs per unit body weight,LH,8.806,
number of eggs per unit body weight,LH,8.806,
number of females,LH,6.714,
number of flowering stems,LH,6.857,
number of flowers,LH,6.857,
number of flowers,LH,6.857,
number of fruit,LH,7.655,
number of fruit,LH,7.655,
number of fruit per plant ,LH,7.655,
number of fruit per plant ,LH,7.655,
number of fruit per plant ,LH,7.655,
number of fruit per plant ,LH,7.655,
number of fruit per plant ,LH,7.655,
number of fruit per plant ,LH,7.655,
number of fruits,LH,7.655,
number of fruits,LH,7.655,
number of fruits,LH,7.655,
number of fruits,LH,7.655,
number of fruits,LH,7.655,
number of fruits,LH,7.655,
number of fruits per plant,LH,7.655,
number of fruits per plant,LH,7.655,
number of fruits per plant,LH,7.655,
number of fruits per plant,LH,7.655,
number of fruits per plant,LH,7.655,
number of fruits per plant,LH,7.655,
number of fry to 10 months,LH,8.806,
number of grains per spike,LH,6.28,
number of grains per spike,LH,6.28,
number of grains per spike,LH,6.28,
number of kernels,LH,8.258,
number of kernels,LH,8.258,
number of kernels per row,LH,8.258,
number of kernels per row,LH,8.258,
number of kernels per row,LH,8.258,
number of locules,LH,5.035,
number of locules,LH,5.035,
number of locules,LH,5.035,
number of locules,LH,5.035,
number of locules,LH,5.035,
number of males,LH,5.167,
number of offspring,LH,8.806,
number of offspring,LH,8.806,
number of offspring,LH,8.806,
number of offspring,LH,8.806,
number of offspring,LH,8.806,
number of offspring,LH,8.806,
number of offspring,LH,8.806,
number of offspring,LH,8.806,
number of offspring,LH,8.806,
number of offspring,LH,8.806,
number of offspring,LH,8.806,
number of offspring,LH,8.806,
number of offspring,LH,8.806,
number of offspring,LH,8.806,
number of offspring,LH,8.806,
number of offspring,LH,8.806,
number of offspring,LH,8.806,
number of offspring,LH,8.806,
number of offspring,LH,8.806,
number of offspring,LH,8.806,
number of offspring,LH,8.806,
number of offspring,LH,8.806,
number of offspring,LH,8.806,
number of offspring,LH,8.806,
number of offspring,LH,8.806,
number of offspring,LH,8.806,
number of offspring,LH,8.806,
number of ovules,LH,6.815,
number of parthenocarpic fruits per plant of cumulative harvest,LH,7.655,
number of parthenocarpic fruits per plant of cumulative harvest,LH,7.655,
number of parthenocarpic fruits per plant of cumulative harvest,LH,7.655,
number of parthenocarpic fruits per plant of first harvest,LH,7.655,
number of parthenocarpic fruits per plant of first harvest,LH,7.655,
number of peduncles per plant,LH,3.256,
number of peduncles per plant,LH,3.256,
number of peduncles per plant,LH,3.256,
number of pods,LH,8.258,
number of pods,LH,8.258,
number of pods per plant,LH,8.258,
number of pods per plant,LH,8.258,
number of pods per plant,LH,8.258,
number of pods per plant,LH,8.258,
number of pods per plant,LH,8.258,
number of pods per plant,LH,8.258,
number of pods per plant,LH,8.258,
number of pods per plant,LH,8.258,
number of pods per plant,LH,8.258,
number of pods per plant,LH,8.258,
number of pods per plant,LH,8.258,
number of pods per plant,LH,8.258,
number of pods per plant,LH,8.258,
number of pods per plant,LH,8.258,
number of pods per plant,LH,8.258,
number of pods per plant,LH,8.258,
number of racemes per plant,LH,4,
number of racemes per plant,LH,4,
number of racemes per plant,LH,4,
number of racemes per plant,LH,4,
number of ramets produced before the flowering season,LH,8.806,
number of rows per ear,LH,8.258,
number of rows per ear,LH,8.258,
number of rows per ear,LH,8.258,
number of seeds,LH,8.258,
number of seeds,LH,8.258,
number of seeds per fruit,LH,8.258,
number of seeds per fruit,LH,8.258,
number of seeds per fruit,LH,8.258,
number of seeds per fruit,LH,8.258,
number of seeds per plant,LH,8.258,
number of seeds per pod,LH,8.258,
number of seeds per pod,LH,8.258,
number of seeds per pod,LH,8.258,
number of seeds per pod,LH,8.258,
number of siliquae per plant,LH,5.655,
nursery survival at 6 months,LH,9,
nuzzling,LH,4.286,
ovariole number,LH,7.857,
ovariole number,LH,7.857,
ovariole number,LH,7.857,
ovary length,LH,6.032,
panicles per plant,LH,6.857,
paternal fitness,LH,8.129,
peak fecundity,LH,9,
peanut bud necrosis incidence %,LH,6,
peanut bud necrosis incidence %,LH,6,
peanut bud necrosis incidence %,LH,6,
percent grains per panicle,LH,6.087,
percent of offspring deformed,LH,8.097,
percent of offspring deformed,LH,8.097,
percent of offspring deformed,LH,8.097,
percent of offspring deformed,LH,8.097,
percent of offspring deformed,LH,8.097,
percent of offspring deformed,LH,8.097,
percent of offspring deformed,LH,8.097,
percent of offspring deformed,LH,8.097,
percent of offspring deformed,LH,8.097,
percent of offspring deformed,LH,8.097,
percent of offspring deformed,LH,8.097,
percent of offspring deformed,LH,8.097,
percent of offspring deformed,LH,8.097,
percent of offspring deformed,LH,8.097,
percent of offspring deformed,LH,8.097,
percent of offspring deformed,LH,8.097,
percent of offspring deformed,LH,8.097,
percent of offspring deformed,LH,8.097,
percent of offspring deformed,LH,8.097,
percent of offspring deformed,LH,8.097,
percent of offspring deformed,LH,8.097,
percent of offspring deformed,LH,8.097,
percent of offspring deformed,LH,8.097,
percent of offspring deformed,LH,8.097,
percent survival,LH,9,
percent survival,LH,9,
pericarp thickness,LH,5.036,
pericarp thickness,LH,5.036,
pericarp thickness,LH,5.036,
pericarp thickness,LH,5.036,
pericarp thickness,LH,5.036,
pericarp thickness,LH,5.036,
pericarp thickness,LH,5.036,
pericarp thickness,LH,5.036,
pericarp thickness,LH,5.036,
pistil length,LH,6.032,
pod length,LH,5.259,
pod length,LH,5.259,
pod length,LH,5.259,
pod length,LH,5.259,
pod length,LH,5.259,
pod length,LH,5.259,
pod length,LH,5.259,
pod weight,LH,5.036,
pod weight,LH,5.036,
pod weight,LH,5.036,
pod weight,LH,5.036,
pod weight,LH,5.036,
pod weight,LH,5.036,
pod width,LH,5.036,
pod width,LH,5.036,
pod yield,LH,7.815,
pod yield,LH,7.815,
pod yield,LH,7.815,
pod yield,LH,7.815,
pod yield per plant,LH,7.815,
pod yield per plant,LH,7.815,
pod yield per plant,LH,7.815,
pod yield per plant,LH,7.815,
proportion eggs on cowpea,LH,8.806,
proportion eggs on cowpea,LH,8.806,
proportion of males,LH,5.167,
proportion of survivors reproductive,LH,9,
proportion that flowered,LH,6.857,
proportion that set fruit,LH,7.655,
proportion viable pollen,LH,8.667,
running speed,LH,6.444,
running speed,LH,6.444,
seed height,LH,5.259,
seed length,LH,5.259,
seed number,LH,8.258,
seed number,LH,8.258,
seed number ,LH,8.258,
seed per pod,LH,8.258,
seed per pod,LH,8.258,
seed pod ratio,LH,8.258,
seed pod ratio,LH,8.258,
seed set,LH,8.258,
seed size,LH,5.259,
seed weight,LH,5.259,
seed weight,LH,5.259,
seed weight,LH,5.259,
seed weight,LH,5.259,
seed weight,LH,5.259,
seed weight,LH,5.259,
seed weight,LH,5.259,
seed weight,LH,5.259,
seed weight,LH,5.259,
seed weight,LH,5.259,
seed weight,LH,5.259,
seed weight,LH,5.259,
seed weight,LH,5.259,
seed weight,LH,5.259,
seed weight,LH,5.259,
seed weight,LH,5.259,
seed weight,LH,5.259,
seed weight,LH,5.259,
seed weight,LH,5.259,
seed weight,LH,5.259,
seed weight,LH,5.259,
seed weight,LH,5.259,
seed weight,LH,5.259,
